AccusedMasterID,CaseMasterID,AccusedName,AgeYear,GenderID,PersonID
221,221,Adweta Pall,28,1,A1
222,222,Mohammed Menon,38,1,A1
223,223,Anthony Pingle,35,1,A1
224,224,Omisha Basu,42,2,A1
225,225,Chakradhar Saraf,23,2,A1
226,226,Wakeeta Bahri,46,1,A1
227,227,Andrew Buch,46,2,A1
228,228,Onveer Narain,19,1,A1
229,229,Victor Walla,20,1,A1
230,230,Yashvi Ramakrishnan,37,1,A1
231,231,Advaith Saxena,47,2,A1
232,232,Jeevika Walla,21,1,A1
233,233,Parth Hayre,39,2,A1
234,234,Maanas Dhingra,41,2,A1
235,235,Gabriel Sarna,32,1,A1
236,236,Champak Grover,36,2,A1
237,237,Tamanna Pal,20,1,A1
238,238,Parth Narang,44,1,A1
239,239,Tristan Narula,30,1,A1
240,240,Peter Atwal,43,1,A1
241,241,Oeshi Badal,30,2,A1
242,242,Theodore Gola,20,1,A1
243,243,Suhani Behl,46,2,A1
244,244,Thomas Naik,50,1,A1
245,245,Aayush Dara,18,1,A1
246,246,Rudra Rajagopalan,45,2,A1
247,247,Pallavi Savant,29,1,A1
248,248,Triveni Balakrishnan,26,1,A1
249,249,Devansh Dyal,38,2,A1
250,250,Yutika Kamdar,33,2,A1
251,251,Chanchal Koshy,39,2,A1
252,252,Shravya Dalal,26,1,A1
253,253,Isaac Bhatti,50,2,A1
254,254,Dayita Krishnan,38,1,A1
255,255,Hritik Dugal,36,2,A1
256,256,Joshua Murty,26,1,A1
257,257,Sachi Ratti,38,1,A1
258,258,Rachana Mani,48,2,A1
259,259,Aayush Anne,36,2,A1
260,260,Edhitha Murty,24,1,A1
261,261,Rushil Chaudhary,21,1,A1
262,262,Gabriel Sarna,28,2,A1
263,263,Neha Chandran,27,1,A1
264,264,Atharv Varghese,36,1,A1
265,265,Wahab Chahal,20,2,A1
266,266,Kai Tiwari,24,1,A1
267,267,Harinakshi Chopra,42,1,A1
268,268,Jacob Choudhary,36,1,A1
269,269,Ekaraj Kurian,42,2,A1
270,270,Triya Chadha,38,1,A1
271,271,Ekiya Keer,30,2,A1
272,272,Leela Lala,41,1,A1
273,273,Joshua Tella,30,2,A1
274,274,Abeer Dutt,22,1,A1
275,275,Xalak Vohra,50,1,A1
276,276,Darsh Sridhar,45,2,A1
277,277,Kevin Nori,26,1,A1
278,278,Madhavi Nayar,34,1,A1
279,279,Oviya Sodhi,27,1,A1
280,280,Xalak Narayan,21,2,A1
281,281,Jack Ramachandran,40,1,A1
282,282,Rajata Kala,38,1,A1
283,283,Yutika Bajaj,22,1,A1
284,284,Ekani Memon,43,1,A1
285,285,Charita Cherian,31,2,A1
286,286,Adweta Rana,36,1,A1
287,287,Yashica Chatterjee,48,1,A1
288,288,Samaksh Konda,46,1,A1
289,289,Jatin Sur,33,1,A1
290,290,Dayamai Tiwari,38,2,A1
291,291,Eesha Nadkarni,25,2,A1
292,292,Saumya Chaudhary,36,1,A1
293,293,Warjas Kurian,41,2,A1
294,294,Rachit Mohan,36,1,A1
295,295,Owen Tripathi,23,1,A1
296,296,Udarsh Ganesh,18,1,A1
297,297,Janya Kaul,31,2,A1
298,298,Aachal Ganesh,31,2,A1
299,299,Jeevika Parikh,22,1,A1
300,300,Charles Raj,39,1,A1
301,301,Aachal Shetty,29,2,A1
302,302,Orinder Mammen,32,2,A1
303,303,Yoshita Ahuja,46,2,A1
304,304,Harini Rajan,19,2,A1
305,305,Champak Tripathi,18,1,A1
306,306,Jonathan Randhawa,20,1,A1
307,307,Manya Ramakrishnan,50,1,A1
308,308,Michael Jha,37,1,A1
309,309,Orinder Halder,42,2,A1
310,310,Gopal Tara,19,2,A1
311,311,Jack Subramanian,26,2,A1
312,312,Vanya Madan,36,1,A1
313,313,Saumya Chaudhary,41,1,A1
314,314,Gabriel Goswami,27,1,A1
315,315,Fitan Saha,43,1,A1
316,316,Jasmit Chanda,40,1,A1
317,317,Ronith Ramakrishnan,50,1,A1
318,318,Jack Subramanian,34,1,A1
319,319,Tripti Pillay,21,2,A1
320,320,Nakul Ramaswamy,22,2,A1
321,321,Vasatika Bhalla,34,1,A1
322,322,Irya Gera,49,2,A1
323,323,Orinder Madan,33,1,A1
324,324,Isaiah Bhat,30,2,A1
325,325,Ranveer Hans,39,2,A1
326,326,Charita Karpe,27,2,A1
327,327,Daksh Chahal,45,1,A1
328,328,Sathvik Chandran,32,2,A1
329,329,Frederick Narang,26,2,A1
330,330,Aarini Tak,47,2,A1
331,331,Vedant Suri,37,2,A1
332,332,Guneet Mital,29,1,A1
333,333,Bhavna Gokhale,26,1,A1
334,334,Janya Kaul,22,1,A1
335,335,Sanaya Bandi,50,1,A1
336,336,Yutika Sodhi,43,1,A1
337,337,Shivansh Dayal,34,2,A1
338,338,Diya Muni,27,2,A1
339,339,Bhanumati Setty,36,1,A1
340,340,Charvi Nayak,50,1,A1
341,341,Ryan Garg,50,1,A1
342,342,Leela Basu,28,1,A1
343,343,Chandran Sampath,29,1,A1
344,344,Anika Prabhu,48,2,A1
345,345,Gabriel Sarna,49,1,A1
346,346,Frederick Narang,32,1,A1
347,347,Chakradhar Bhalla,41,2,A1
348,348,Nitesh Roy,47,1,A1
349,349,Theodore Narula,38,1,A1
350,350,Andrew Sidhu,35,2,A1
351,351,Owen Dalal,29,2,A1
352,352,Ijaya Sahni,41,1,A1
353,353,Hema Parekh,42,1,A1
354,354,Ekta Parikh,40,2,A1
355,355,Jatin Ratta,48,1,A1
356,356,Dipta Dhawan,26,2,A1
357,357,Isaiah Bhat,50,2,A1
358,358,Jonathan Dube,28,2,A1
359,359,Urvashi Sehgal,25,1,A1
360,360,Faras Sridhar,39,1,A1
361,361,Indira Loke,48,2,A1
362,362,Jairaj Prashad,44,1,A1
363,363,Ayush Majumdar,28,1,A1
364,364,Hamsini Nagy,20,1,A1
365,365,Ekiya Keer,29,2,A1
366,366,Meera Dalal,19,2,A1
367,367,Rachana Kari,31,2,A1
368,368,Simon Modi,48,2,A1
369,369,Theodore Gola,27,1,A1
370,370,Chameli Kunda,50,2,A1
371,371,Michael Jha,39,2,A1
372,372,Sneha Patla,22,1,A1
373,373,Eiravati Sachdeva,26,1,A1
374,374,Champak Ramachandran,50,2,A1
375,375,Nidhi Murty,24,1,A1
376,376,Yasti Pant,20,1,A1
377,377,Tripti Pillay,26,1,A1
378,378,Sai Venkatesh,45,2,A1
379,379,Ekaraj Jain,20,2,A1
380,380,Maanas Rama,42,2,A1
381,381,Qushi Pillai,24,2,A1
382,382,Maanas Rama,32,1,A1
383,383,Hemani Sheth,44,2,A1
384,384,Charles Raj,18,1,A1
385,385,Yashoda Sekhon,42,1,A1
386,386,Yug Sachar,38,2,A1
387,387,Edhitha Mannan,27,2,A1
388,388,Upadhriti Ratta,34,2,A1
389,389,Aditya Uppal,45,2,A1
390,390,Harish Bahl,43,1,A1
391,391,Ladli Dar,48,1,A1
392,392,Gaurangi Narain,48,2,A1
393,393,Mohammed Mall,40,2,A1
394,394,Baghyawati Nagi,25,1,A1
395,395,Praneel Hans,28,1,A1
396,396,Avni Bala,39,1,A1
397,397,Janya Kaul,18,1,A1
398,398,Rayaan Parikh,48,2,A1
399,399,Ekiya Keer,32,2,A1
400,400,William Ramaswamy,42,2,A1
401,401,Yadavi Dave,36,1,A1
402,402,Hemang Gandhi,29,2,A1
403,403,Christopher Bajaj,30,2,A1
404,404,Upkaar Prashad,50,1,A1
405,405,Kalpit Pillay,20,2,A1
406,406,Ayaan Varughese,28,1,A1
407,407,Vaishnavi Buch,43,2,A1
408,408,Ekaja Thakkar,43,1,A1
409,409,Yasti Kota,22,1,A1
410,410,Advik Rao,40,2,A1
411,411,Yashoda Barad,35,1,A1
412,412,Bhavini Tak,30,2,A1
413,413,Yahvi Badal,18,2,A1
414,414,Anvi Ben,24,1,A1
415,415,Faqid Loyal,39,1,A1
416,416,Meera Bala,34,2,A1
417,417,Qabil Chada,42,2,A1
418,418,Ekansh Bansal,39,2,A1
419,419,Madhavi Chahal,19,2,A1
420,420,Isaiah Bhat,42,1,A1
421,421,Balendra Walia,32,2,A1
422,422,Ishwar Babu,40,1,A1
423,423,Bhavika Sane,34,1,A1
424,424,Avni Bala,39,1,A1
425,425,Anamika Mand,29,2,A1
426,426,Harish Gokhale,31,2,A1
427,427,Panini Dar,30,2,A1
428,428,Maya Sane,33,1,A1
429,429,Tara D’Alia,31,1,A1
430,430,Sathvik Chandran,40,1,A1
431,431,Chatura Kota,25,1,A1
432,432,Omkaar Thakur,49,1,A1
433,433,Harinakshi Sama,20,2,A1
434,434,Devika Bhat,38,2,A1
435,435,Qabil Tripathi,35,2,A1
436,436,Gabriel Sarna,50,2,A1
437,437,Ryan Rao,26,1,A1
438,438,Jhalak Sant,45,2,A1
439,439,Sara Rajagopalan,20,2,A1
440,440,Nachiket Rana,29,2,A1
441,441,Mason Anne,47,2,A1
442,442,Timothy Batra,18,1,A1
443,443,Urmi Gandhi,24,2,A1
444,444,Madhav Sood,34,1,A1
445,445,Kevin Ravel,33,2,A1
446,446,Bhanumati Sathe,39,2,A1
447,447,Noah Parekh,31,2,A1
448,448,Rayaan Sheth,41,2,A1
449,449,Jason Morar,35,2,A1
450,450,Ayush Majumdar,32,1,A1
451,451,Jagvi Majumdar,33,2,A1
452,452,Chavvi Mangat,30,1,A1
453,453,Urmi Uppal,27,2,A1
454,454,Ishaan Setty,29,2,A1
455,455,Vedika Sarkar,38,2,A1
456,456,Warhi Venkatesh,21,2,A1
457,457,Jairaj Prashad,21,1,A1
458,458,Sanaya Shanker,48,1,A1
459,459,Benjamin Dhar,39,2,A1
460,460,Aarnav Comar,34,2,A1
461,461,Chavvi Gandhi,40,1,A1
462,462,Lekha Ratta,29,2,A1
463,463,Bhavani Khosla,50,2,A1
464,464,Advaith Soni,46,1,A1
465,465,Vihaan Tata,36,2,A1
466,466,Charan Randhawa,27,1,A1
467,467,Lavanya Murty,39,2,A1
468,468,Yashvi Jha,43,1,A1
469,469,Robert More,32,2,A1
470,470,Viraj Chanda,36,2,A1
471,471,Tanish Mukhopadhyay,43,2,A1
472,472,Maanav Tandon,41,2,A1
473,473,Kevin Mand,29,1,A1
474,474,Sathvik Chandran,34,1,A1
475,475,Avni Bala,24,1,A1
476,476,Maanas Rama,21,1,A1
477,477,Abeer Bhatti,23,1,A1
478,478,Tristan Samra,23,2,A1
479,479,Fiyaz Bumb,33,2,A1
480,480,Garima Varma,26,1,A1
481,481,Nitesh Dayal,28,1,A1
482,482,Samaksh Konda,38,2,A1
483,483,Wriddhish Zachariah,35,2,A1
484,484,Vivaan Lad,29,2,A1
485,485,Qasim Bhatti,45,2,A1
486,486,Laban Padmanabhan,48,1,A1
487,487,Gaurav Kar,46,2,A1
488,488,Hemangini Gala,34,1,A1
489,489,Jason Sarkar,18,1,A1
490,490,Dipta Sanghvi,48,1,A1
491,491,Noah Aurora,49,2,A1
492,492,Udarsh Ganesh,45,2,A1
493,493,Omya Chandra,18,2,A1
494,494,Jack Bedi,45,2,A1
495,495,Charles Raj,42,2,A1
496,496,Jairaj Ahuja,45,1,A1
497,497,Indira Vasa,35,2,A1
498,498,Krish Choudhry,35,2,A1
499,499,Isaiah Bhat,29,1,A1
500,500,Janya Kaul,47,2,A1
