VictimMasterID,CaseMasterID,VictimName,AgeYear,GenderID,VictimPolice
342,342,Upma Keer,29,2,0
343,343,Qabil Pandit,60,2,0
344,344,Omaja Gandhi,44,2,0
345,345,Nidhi Bal,24,1,0
346,346,Leela Menon,45,2,0
347,347,Suhani Sani,43,2,0
348,348,Yuvraj Sankar,51,2,0
349,349,Mekhala Chakraborty,57,1,0
350,350,Tanvi Kade,25,2,0
351,351,Simon Mander,60,2,0
352,352,Vasana Tank,24,2,0
353,353,Anthony Bala,33,2,0
354,354,Ronith Chauhan,33,2,0
355,355,Bhavna Bhasin,37,2,0
356,356,Bimala Hegde,38,2,0
357,357,Patrick Vora,55,1,0
358,358,Geetika Arya,56,2,0
359,359,Jeet Sabharwal,41,1,0
360,360,Alexander Chadha,22,1,0
361,361,Warhi Pillai,60,2,0
362,362,Triya Magar,21,1,0
363,363,Siya Shetty,30,2,0
364,364,Balvan Kulkarni,49,1,0
365,365,Avi Khurana,47,1,0
366,366,Yochana Deo,28,2,0
367,367,Charvi Dugar,30,2,0
368,368,Oviya Acharya,25,2,0
369,369,Kamala Parikh,36,1,0
370,370,Chaman Rege,43,1,0
371,371,Hemani Suresh,23,2,0
372,372,Fariq Murthy,60,2,0
373,373,Lajita Devan,34,2,0
374,374,Qarin Bawa,25,1,0
375,375,Rehaan Mangal,20,1,0
376,376,Harrison Parekh,50,1,0
377,377,Indali Chana,28,1,0
378,378,Ronith Mukherjee,53,2,0
379,379,Samar Tella,20,1,0
380,380,Tara Sarma,41,1,0
381,381,Sarthak Brar,47,1,0
382,382,Sai Chopra,50,1,0
383,383,Krisha Tara,34,2,0
384,384,Vasana Behl,25,1,0
385,385,Robert Viswanathan,26,2,0
386,386,Jeevika Bhatnagar,43,2,0
387,387,Aahana Deshpande,28,2,0
388,388,Wahab Wadhwa,28,1,0
389,389,Geetika Kari,24,1,0
390,390,Nakul Padmanabhan,59,1,0
391,391,Upkaar Chada,48,2,0
392,392,Kabir Bhandari,33,1,0
393,393,Faras Singhal,46,2,0
394,394,Dakshesh Ramakrishnan,33,1,0
395,395,Samaksh Deep,26,1,0
396,396,Nathaniel Ahuja,27,2,0
397,397,Dakshesh Pradhan,42,2,0
398,398,Benjamin Bose,40,1,0
399,399,Meera Naidu,35,2,0
400,400,Liam Bhalla,25,1,0
401,401,Qasim Sarna,55,2,0
402,402,Gaurang Bali,21,2,0
403,403,Yutika Raman,33,1,0
404,404,Oni Sarma,45,2,0
405,405,Saksham Bains,23,1,0
406,406,Baghyawati Mukherjee,51,2,0
407,407,Vamakshi Sheth,27,1,0
408,408,Agastya Saini,51,1,0
409,409,Priya Sarna,53,1,0
410,410,Reyansh Basak,43,2,0
411,411,Anya Vig,28,2,0
412,412,Warda Dugar,56,2,0
413,413,Ekbal Korpal,43,1,0
414,414,Anirudh Pillay,50,1,0
415,415,Krishna Mukhopadhyay,21,1,0
416,416,Balveer Vig,20,2,0
417,417,Urvi Kannan,33,1,0
418,418,Aditya Sur,23,2,0
419,419,Harsh Sahota,52,2,0
420,420,Kevin Chand,60,2,0
421,421,Nicholas Bali,47,2,0
422,422,Chakradhar Kant,25,1,0
423,423,Fiyaz Gala,37,1,0
424,424,Udyati Gill,39,1,0
425,425,Atharv Toor,52,1,0
426,426,Urishilla Dhawan,29,2,0
427,427,Jasmit Chaudhary,45,1,0
428,428,Yasti Khare,39,2,0
429,429,Frederick Chaudhuri,35,1,0
430,430,Anusha Walia,35,1,0
431,431,Chasmum Devi,47,1,0
432,432,Sneha Tiwari,49,1,0
433,433,Veda Sastry,39,1,0
434,434,Leena Soni,27,1,0
435,435,Quincy Mander,28,1,0
436,436,Alka Khalsa,30,2,0
437,437,Upasna Boase,42,2,0
438,438,Kiaan Comar,30,2,0
439,439,Bhavna Krishna,28,2,0
440,440,Keya Bahl,27,1,0
441,441,Kamya Rajan,41,2,0
442,442,Zansi Bir,37,1,0
443,443,Tanish Varma,36,1,0
444,444,Netra Saraf,51,2,0
445,445,Abhimanyu Nazareth,52,2,0
446,446,Aayush Ahuja,23,2,0
447,447,Kevin Karan,56,1,0
448,448,Parth Thakur,43,1,0
449,449,Yoshita Date,36,1,0
450,450,Ethan Nigam,56,1,0
451,451,Sachi Bhatt,34,1,0
452,452,Luke Subramanian,22,1,0
453,453,Samuel Chadha,35,1,0
454,454,Gaurav Dugar,50,2,0
455,455,Jagat Keer,44,1,0
456,456,Radha Varma,31,1,0
457,457,Vyanjana Dutta,55,2,0
458,458,Jacob Barad,34,2,0
459,459,Triveni Vig,35,2,0
460,460,Ekansh Kibe,40,2,0
461,461,Aayush Golla,24,2,0
462,462,Yauvani Dayal,27,1,0
463,463,Damini Borra,31,1,0
464,464,Tristan Gara,53,1,0
465,465,Jeremiah Banik,45,1,0
466,466,Kritika Prakash,49,2,0
467,467,Netra Hans,39,2,0
468,468,Anay Kapoor,25,2,0
469,469,Rachana Mutti,20,2,0
470,470,Logan Prakash,32,2,0
471,471,Faris Kohli,56,2,0
472,472,Vrishti Gade,59,1,0
473,473,Yasti Peri,49,2,0
474,474,Yashvi Chaudhry,57,2,0
475,475,Adweta Mangal,32,1,0
476,476,Yashodhara Jain,29,1,0
477,477,Banjeet Seth,46,1,0
478,478,Jatin Thaker,34,2,0
479,479,Jason Bains,60,1,0
480,480,Gunbir Sanghvi,41,1,0
481,481,Bhavini Comar,44,2,0
482,482,Lopa Badal,26,1,0
483,483,Sanaya Kurian,53,1,0
484,484,Veda Chokshi,46,2,0
485,485,Chakradhar Gole,23,1,0
486,486,Gautam Zachariah,37,1,0
487,487,Aishani Kakar,22,1,0
488,488,Oeshi Bajwa,53,2,0
489,489,Isaiah Handa,43,2,0
490,490,Aayush Rana,25,1,0
491,491,Nidra Minhas,52,1,0
492,492,Anay Dhillon,60,2,0
493,493,Idika Ravi,24,1,0
494,494,Shivani Ahluwalia,47,1,0
495,495,Laksh Shankar,35,2,0
496,496,Watika Tandon,36,2,0
497,497,Maanas Bahri,45,2,0
498,498,Viraj Menon,40,2,0
499,499,David Ratta,37,1,0
500,500,Wazir Manne,24,1,0
